,word,define,synonyms,similarity 
0,abandon,"give up a right, position, or power",relinquish,100
1,abandon,"give up a right, position, or power",vacate,100
2,abandon,"give up a right, position, or power",forgo,100
3,abandon,"give up a right, position, or power",step down,100
4,abandon,"give up a right, position, or power",renounce,100
5,abandon,"give up a right, position, or power",quit,100
6,abandon,"give up a right, position, or power",retire,100
7,abandon,"give up a right, position, or power",waive,100
8,abandon,"give up a right, position, or power",cede,100
9,abandon,"give up a right, position, or power",drop,100
10,abandon,"give up a right, position, or power",resign,100
11,abandon,"give up a right, position, or power",leave,100
12,abandon,"give up a right, position, or power",abjure,100
13,abandon,"give up a right, position, or power",yield,100
14,abandon,"give up a right, position, or power",withdraw,100
15,abandon,"give up a right, position, or power",abnegate,100
16,abandon,"give up a right, position, or power",abandon,100
17,abandon,"give up a right, position, or power",surrender,100
18,abandon,"give up a right, position, or power",bail out,100
19,abandon,"give up a right, position, or power",leave in the lurch,100
20,abandon,"give up a right, position, or power",opt out,100
21,abandon,"give up a right, position, or power",sell out,100
22,abandon,"give up a right, position, or power",demit,100
23,abandon,"give up a right, position, or power",quitclaim,100
24,abandon,"give up a right, position, or power",bag it,100
25,abandon,"give up a right, position, or power",give up,100
26,abandon,"give up a right, position, or power",leave high and dry,100
27,abandon,"give up a right, position, or power",leave holding the bag,100
28,abandon,defect,stray,50
29,abandon,defect,renounce,50
30,abandon,defect,tergiversate,50
31,abandon,defect,reject,50
32,abandon,defect,abandon,50
33,abandon,defect,desert,50
34,abandon,defect,break faith,50
35,abandon,defect,sell out,50
36,abandon,defect,change sides,50
37,abandon,defect,fall away from,50
38,abandon,back off,balk,100
39,abandon,back off,renege,100
40,abandon,back off,backtrack,100
41,abandon,back off,take back,100
42,abandon,back off,cancel,100
43,abandon,back off,concede,100
44,abandon,back off,back out,100
45,abandon,back off,admit,100
46,abandon,back off,withdraw,100
47,abandon,back off,abandon,100
48,abandon,back off,pull out,100
49,abandon,back off,back off,100
50,abandon,back off,surrender,100
51,abandon,back off,retreat,100
52,abandon,back off,give in,100
53,abandon,back off,accede,100
54,abandon,back off,acquiesce,100
55,abandon,back off,bow out,100
56,abandon,back off,chicken out,100
57,abandon,back off,cop out,100
58,abandon,back off,demur,100
59,abandon,back off,hold back,100
60,abandon,back off,recant,100
61,abandon,back off,recoil,100
62,abandon,back off,resign,100
63,abandon,back off,submit,100
64,abandon,back off,yield,100
65,abandon,back off,cave in,100
66,abandon,back off,pull back,100
67,abandon,back off,give up,100
68,abandon,back off,back pedal,100
69,abandon,back off,beg off,100
70,abandon,back off,give ground,100
71,abandon,back off,go back on,100
72,abandon,back off,have no fight left,100
73,abandon,back off,wimp out,100
74,abandon,back off,withdraw from agreement or statement,100
75,abandon,retreat,balk,100
76,abandon,retreat,back down,100
77,abandon,retreat,withdraw,100
78,abandon,retreat,abandon,100
79,abandon,retreat,surrender,100
80,abandon,retreat,recede,100
81,abandon,retreat,retire,100
82,abandon,retreat,yield,100
83,abandon,retreat,give up,100
84,abandon,move backward,fall back,100
85,abandon,move backward,retreat,100
86,abandon,move backward,abandon,100
87,abandon,move backward,withdraw,100
88,abandon,retreat,balked,100
89,abandon,retreat,back down,100
90,abandon,retreat,withdrew,100
91,abandon,retreat,abandoned,100
92,abandon,retreat,surrendered,100
93,abandon,retreat,receded,100
94,abandon,retreat,retired,100
95,abandon,retreat,yielded,100
96,abandon,retreat,gave up,100
97,ability,"something successfully done, completed",talent,100
98,ability,"something successfully done, completed",ability,100
99,ability,"something successfully done, completed",effort,100
100,ability,"something successfully done, completed",capability,100
101,ability,"something successfully done, completed",exploit,100
102,ability,"something successfully done, completed",triumph,100
103,ability,"something successfully done, completed",performance,100
104,ability,"something successfully done, completed",skill,100
105,ability,"something successfully done, completed",feat,100
106,ability,"something successfully done, completed",deed,100
107,ability,"something successfully done, completed",achievement,100
108,ability,"something successfully done, completed",completion,100
109,ability,"something successfully done, completed",coup,100
110,ability,"something successfully done, completed",finish,100
111,ability,"something successfully done, completed",art,100
112,ability,"something successfully done, completed",consummation,100
113,ability,"something successfully done, completed",realization,100
114,ability,"something successfully done, completed",proficiency,100
115,ability,"something successfully done, completed",attainment,100
116,ability,"something successfully done, completed",stroke,100
117,ability,"something successfully done, completed",production,100
118,ability,"something successfully done, completed",fulfillment,100
119,ability,"something successfully done, completed",act,100
120,ability,"something successfully done, completed",execution,100
121,ability,"something successfully done, completed",conclusion,100
122,ability,"something successfully done, completed",bringing about,100
123,ability,"something successfully done, completed",carrying out,100
124,ability,"something successfully done, completed",effecting,100
125,ability,"something successfully done, completed",talents,100
126,ability,"something successfully done, completed",abilities,100
127,ability,"something successfully done, completed",efforts,100
128,ability,"something successfully done, completed",capabilities,100
129,ability,"something successfully done, completed",exploits,100
130,ability,"something successfully done, completed",triumphs,100
131,ability,"something successfully done, completed",performances,100
132,ability,"something successfully done, completed",skills,100
133,ability,"something successfully done, completed",feats,100
134,ability,"something successfully done, completed",deeds,100
135,ability,"something successfully done, completed",achievements,100
136,ability,"something successfully done, completed",completions,100
137,ability,"something successfully done, completed",coups,100
138,ability,"something successfully done, completed",finishes,100
139,ability,"something successfully done, completed",arts,100
140,ability,"something successfully done, completed",consummations,100
141,ability,"something successfully done, completed",realizations,100
142,ability,"something successfully done, completed",proficiencies,100
143,ability,"something successfully done, completed",attainments,100
144,ability,"something successfully done, completed",strokes,100
145,ability,"something successfully done, completed",productions,100
146,ability,"something successfully done, completed",fulfillments,100
147,ability,"something successfully done, completed",acts,100
148,ability,"something successfully done, completed",executions,100
149,ability,"something successfully done, completed",conclusions,100
150,ability,"something successfully done, completed",bringing abouts,100
151,ability,"something successfully done, completed",carrying outs,100
152,ability,"something successfully done, completed",effectings,100
153,ability,adeptness,dexterity,50
154,ability,adeptness,deftness,50
155,ability,adeptness,skill,50
156,ability,adeptness,ability,50
157,ability,adeptness,cleverness,50
158,ability,quickness at learning,proficiency,100
159,ability,quickness at learning,savvy,100
160,ability,quickness at learning,knack,100
161,ability,quickness at learning,competence,100
162,ability,quickness at learning,flair,100
163,ability,quickness at learning,talent,100
164,ability,quickness at learning,ability,100
165,ability,quickness at learning,gift,100
166,ability,quickness at learning,intelligence,100
167,ability,quickness at learning,capability,100
168,ability,quickness at learning,stuff,100
169,ability,quickness at learning,smarts,100
170,ability,quickness at learning,faculty,100
171,ability,quickness at learning,capacity,100
172,ability,quickness at learning,cleverness,100
173,ability,quickness at learning,giftedness,100
174,ability,quickness at learning,what it takes,100
175,ability,quickness at learning,proficiencies,100
176,ability,quickness at learning,savvy,100
177,ability,quickness at learning,knacks,100
178,ability,quickness at learning,competences,100
179,ability,quickness at learning,flair,100
180,ability,quickness at learning,talents,100
181,ability,quickness at learning,abilities,100
182,ability,quickness at learning,gifts,100
183,ability,quickness at learning,intelligence,100
184,ability,quickness at learning,capabilities,100
185,ability,quickness at learning,stuff,100
186,ability,quickness at learning,smarts,100
187,ability,quickness at learning,faculties,100
188,ability,quickness at learning,capacities,100
189,ability,quickness at learning,cleverness,100
190,ability,quickness at learning,giftednesses,100
191,ability,quickness at learning,what it takes,100
192,ability,"skill, cleverness",inventiveness,100
193,ability,"skill, cleverness",finesse,100
194,ability,"skill, cleverness",ability,100
195,ability,"skill, cleverness",adroitness,100
196,ability,"skill, cleverness",ingenuity,100
197,ability,"skill, cleverness",facility,100
198,ability,"skill, cleverness",deftness,100
199,ability,"skill, cleverness",invention,100
200,ability,"skill, cleverness",know-how,100
201,ability,"skill, cleverness",skill,100
202,able,skilled in activity,proficient,100
203,able,skilled in activity,polished,100
204,able,skilled in activity,talented,100
205,able,skilled in activity,skillful,100
206,able,skilled in activity,gifted,100
207,able,skilled in activity,adept,100
208,able,skilled in activity,consummate,100
209,able,skilled in activity,savvy,100
210,able,skilled in activity,cool,100
211,able,skilled in activity,practiced,100
212,able,skilled in activity,cultivated,100
213,able,skilled in activity,able,100
